framework,infraction points,avg. route points,total avg,weather ,infraction
apollo,0,100,100,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,6,100,94,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 94.00 : (route_score=100.0, infractions=-6.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.mercedes-benz.coupe and id=12206
==================================

"
apollo,0,100,100,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 12307 at (x=-10.0799999237, y=177.88999939, x=0.219999998808)
==================================

"
apollo,6,100,94,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 94.00 : (route_score=100.0, infractions=-6.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.bmw.grandtourer and id=12684
==================================

"
apollo,0,100,100,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0,100,100,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 12986 at (x=186.950057983, y=226.179977417, x=0.219999998808)
==================================

"
apollo,0,100,100,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 13212 at (x=30.9599895477, y=194.289962769, x=0.219999998808)
==================================

"
apollo,0,100,100,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,6,100,94,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 94.00 : (route_score=100.0, infractions=-6.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.bmw.grandtourer and id=13866
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 142 at (x=56.6900138855, y=299.989318848, x=0.219999998808)
==================================

"
apollo,6.0,100.0,94.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 94.00 : (route_score=100.0, infractions=-6.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.bh.crossbike and id=565
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 589 at (x=30.9599895477, y=194.289962769, x=0.219999998808)
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=20, precipitation=0, precipitation_deposits=50, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 1510 at (x=186.950057983, y=226.179977417, x=0.219999998808)
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=20, precipitation=0, precipitation_deposits=50, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=20, precipitation=0, precipitation_deposits=50, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=20, precipitation=0, precipitation_deposits=50, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=20, precipitation=0, precipitation_deposits=50, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,14.0,60.457788166877066,46.457788166877066,"WeatherParameters(cloudyness=20, precipitation=0, precipitation_deposits=50, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:TIMEOUT] [Score = 46.46 : (route_score=60.4577881669, infractions=-14.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.chevrolet.impala and id=2845
========== Agent collided against object with type=vehicle.nissan.micra and id=2810
===== Red lights:
========== Agent ran a red light 2655 at (x=186.950057983, y=176.769973755, x=0.219999998808)
===== Wrong way:
========== Agent invaded a lane in opposite direction: road_id=14, lane_id=-1
==================================

"
apollo,6.0,100.0,94.0,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 94.00 : (route_score=100.0, infractions=-6.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.citroen.c3 and id=3095
===== Red lights:
========== Agent ran a red light 2884 at (x=30.9599895477, y=194.289962769, x=0.219999998808)
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 3126 at (x=-10.0799999237, y=177.88999939, x=0.219999998808)
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,6.0,100.0,94.0,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 94.00 : (route_score=100.0, infractions=-6.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.toyota.prius and id=3969
==================================

"
apollo,6.0,100.0,94.0,"WeatherParameters(cloudyness=90, precipitation=60, precipitation_deposits=100, wind_intensity=1, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 94.00 : (route_score=100.0, infractions=-6.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.bmw.grandtourer and id=4185
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 4273 at (x=-10.0799999237, y=177.88999939, x=0.219999998808)
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
===== Red lights:
========== Agent ran a red light 4732 at (x=56.6900138855, y=299.989318848, x=0.219999998808)
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=15, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
apollo,0.0,100.0,100.0,"WeatherParameters(cloudyness=20, precipitation=0, precipitation_deposits=50, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=15)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
